80,Aiming,Keyframe,0,100,0,,180,620,740
80,Aiming,Keyframe,0,620,0,,180,100,740
160,Aiming,Keyframe,0,100,0,,120,620,740
160,Aiming,Keyframe,0,620,0,,120,100,740
240,Aiming,Keyframe,0,100,0,,180,620,740
240,Aiming,Keyframe,0,620,0,,180,100,740
320,Aiming,Keyframe,0,100,0,,120,620,740
320,Aiming,Keyframe,0,620,0,,120,100,740
400,Aiming,Keyframe,0,100,0,,180,620,740
400,Aiming,Keyframe,0,620,0,,180,100,740
480,Aiming,Keyframe,0,100,0,,100,620,740
480,Aiming,Keyframe,0,620,0,,100,100,740
560,Aiming,Keyframe,0,100,0,,120,620,740
560,Aiming,Keyframe,0,620,0,,120,100,740
640,Aiming,Keyframe,0,100,0,,180,620,740
640,Aiming,Keyframe,0,620,0,,180,100,740
720,Aiming,Keyframe,0,100,0,,120,620,740
720,Aiming,Keyframe,0,620,0,,120,100,740
800,Aiming,Keyframe,0,100,0,,80,620,740
800,Aiming,Keyframe,0,620,0,,80,100,740
